P1_E,P2_E,P3_E,PLEC,WIEK,WIEDZA,GRUPA,P1_K,P2_K,P3_K
3,6,6,Mężczyzna,18-25,2,E,,,
6,3,3,Mężczyzna,18-25,3,E,,,
,,,Kobieta,18-25,2,K,5,5,7
6,2,2,Kobieta,18-25,3,E,,,
7,4,4,Mężczyzna,18-25,1,E,,,
,,,Mężczyzna,18-25,3,K,5,5,2
5,6,6,Kobieta,18-25,3,E,,,
,,,Kobieta,18-25,3,K,6,5,6
6,5,5,Kobieta,18-25,2,E,,,
,,,Mężczyzna,18-25,3,K,5,3,6
,,,Kobieta,18-25,2,K,2,2,3
6,5,5,Kobieta,18-25,3,E,,,
,,,Kobieta,18-25,1,K,6,2,7
,,,Kobieta,56+,1,K,5,5,7
5,6,6,Mężczyzna,18-25,3,E,,,
5,5,5,Kobieta,18-25,3,E,,,
,,,Kobieta,18-25,3,K,5,5,6
5,4,4,Mężczyzna,18-25,2,E,,,
5,3,3,Kobieta,18-25,3,E,,,
,,,Mężczyzna,56+,1,K,3,5,6
,,,Kobieta,18-25,2,K,5,5,5
5,4,4,Mężczyzna,18-25,2,E,,,
3,3,3,Kobieta,18-25,3,E,,,
,,,,18-25,2,K,4,2,1
6,2,2,Kobieta,18-25,3,E,,,
,,,Kobieta,18-25,3,K,5,3,6
7,5,5,Mężczyzna,18-25,3,E,,,
5,3,3,Mężczyzna,46-55,1,E,,,
5,6,6,Kobieta,18-25,2,E,,,
,,,Kobieta,18-25,3,K,6,5,6
6,3,3,Mężczyzna,26-35,2,E,,,
6,5,5,Mężczyzna,46-55,2,E,,,
,,,Mężczyzna,36-45,3,K,5,5,6
,,,Mężczyzna,36-45,2,K,6,4,6
,,,Mężczyzna,46-55,1,K,7,2,2
5,6,6,Kobieta,46-55,1,E,,,
,,,Mężczyzna,18-25,2,K,6,7,6
,,,Mężczyzna,18-25,2,K,5,5,6
5,5,5,Mężczyzna,18-25,1,E,,,
,,,Mężczyzna,18-25,3,K,2,2,7
4,4,4,Mężczyzna,56+,1,E,,,
5,5,5,Kobieta,26-35,1,E,,,
4,3,3,Kobieta,18-25,2,E,,,
,,,Inne,18-25,1,K,3,5,2
6,6,6,Mężczyzna,18-25,3,E,,,
,,,Mężczyzna,18-25,2,K,5,3,6
,,,Kobieta,26-35,1,K,5,3,6
