word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
rozkoszny,H,5.296296,1.4074074,1.4814814,1.5555556,1.3703704,2.3661845,7.5138574,7.4493804,7.38738,7.536883,4.835511
"świetny",H,5.6666665,1.3703704,1.3703704,1.3703704,1.2222222,1.9743884,7.555593,7.567725,7.552752,7.6907816,4.933031
przyjaciel,H,6.037037,1.4444444,1.6296296,1.5555556,1.037037,1.9016433,7.8389983,7.691452,7.755814,8.135946,5.40917
"uśmiech",H,6.3333335,1.074074,1.2962962,1.2592592,1.1111112,1.0167402,8.100848,7.925011,7.9385653,8.076864,5.4916534
"pochwała",H,5.2222223,1.5185186,1.2962962,1.3703704,1.2222222,2.1827917,7.2644706,7.469688,7.3976192,7.539364,4.667134
winogrono,H,4.888889,1.1851852,1.1851852,1.3333334,1.2962962,2.4853241,7.2642922,7.256864,7.1116443,7.155325,4.120666
"tańczyć",H,5.5185184,1.2592592,1.3703704,1.925926,1.2592592,2.3314927,7.7237997,7.644962,7.0943713,7.7242575,5.0215497
"ładny",H,5.740741,1.5555556,1.5555556,1.4814814,1.4444444,2.3030655,7.635083,7.5831947,7.6871223,7.730967,5.2323008
"pomysł",H,5.3333335,1.3333334,1.2222222,1.8888888,1.074074,2.3765264,7.408392,7.507606,6.9457607,7.624358,4.620674
skowronek,H,4.851852,1.2222222,1.1851852,1.2222222,1.037037,2.4059231,7.1884637,7.2162585,7.1807218,7.3529243,4.008799
"zwycięzca",H,5.6296296,1.4814814,1.4444444,1.7777778,1.2222222,2.1732345,7.608147,7.625091,7.3510795,7.806983,5.133785
"świętować",H,5.740741,1.5185186,1.3703704,1.4074074,1.3703704,2.0292342,7.6152997,7.744583,7.702404,7.719046,5.147824
"radość",H,6.0384617,1.1538461,1.1923077,1.1538461,1.1153846,1.2012135,7.863227,7.8363056,7.863227,7.8941092,5.2046485
"nagradzać",H,5.3846154,1.3076923,1.2307693,1.2307693,1.0,2.0749876,7.431931,7.472747,7.4537024,7.6771855,4.609013
soczysty,H,4.769231,1.1153846,1.1538461,1.1923077,1.1538461,2.4945903,7.2321515,7.1991224,7.174202,7.1740417,3.881734
"posiłek",H,5.1923075,1.3461539,1.3076923,1.3461539,1.2692307,2.3763185,7.3521075,7.3824544,7.3492107,7.413516,4.452377
"spełnienie",H,6.0,1.4230769,1.4615384,2.0384614,1.1538461,2.1872547,7.926401,7.907455,7.4280443,8.129788,5.5668545
"słoneczny",H,5.923077,1.1153846,1.1923077,1.0769231,1.0384616,1.2782056,7.7952814,7.7209277,7.8279767,7.8559885,4.9822483
zaleta,H,4.8846154,1.1538461,1.1153846,1.3461539,1.0769231,2.43863,7.2680416,7.30351,7.1040754,7.33724,4.038528
